accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.5608628392219543,0.6108546257019043,1.1082674264907837,0.6562091708183289,0.7618643045425415,0.6117197275161743
0.7622916102409363,0.866107165813446,0.6741635203361511,0.6934640407562256,0.7741939425468445,0.5705840587615967
0.8314890265464783,0.927438497543335,0.4961240887641907,0.6980392336845398,0.7698512673377991,0.5820141434669495
0.848998486995697,0.9462453722953796,0.41857513785362244,0.6888889074325562,0.7648788690567017,0.602764904499054
0.8593640327453613,0.9546129703521729,0.38024720549583435,0.6692810654640198,0.7623795866966248,0.6442786455154419
0.8620254993438721,0.9564208388328552,0.3672023415565491,0.6764705777168274,0.7596356868743896,0.6434471607208252
0.8639865517616272,0.958622395992279,0.3570173382759094,0.6869280934333801,0.7621415257453918,0.6532347798347473
0.8662277460098267,0.9610181450843811,0.349217027425766,0.6758170127868652,0.7629903554916382,0.6755138039588928
0.8693094253540039,0.9623510241508484,0.34074270725250244,0.6973856091499329,0.7625165581703186,0.6660340428352356
0.8725311756134033,0.9636821746826172,0.3323446810245514,0.699999988079071,0.760456383228302,0.6680352687835693
